"District","DisCode","Year","enrollment","firstlang_per","ell_per","swd_per","highneeds_per","ecodis_per","black_per","asian_per","hispanic_per","white_per","native_per","hawaiiPI_per","multiNonHispanic_per"
"Bentley Academy Charter School (District)","35110000",2020,332,47.9,21.1,14.2,77.1,68.7,13,2.4,60.2,22,0,0,2.4
"Berkley","00270000",2020,915,0.9,0.9,15.4,29.7,18.5,0.5,0.3,2,93.1,0.1,0.1,3.8
"Berkshire Arts and Technology Charter Public (District)","04140000",2020,372,1.3,0.8,20.7,55.4,44.9,11.8,2.7,10.5,69.9,0.3,0,4.8
"Berkshire Hills","06180000",2020,1185,9.1,3.8,18.9,42.9,30.7,1.1,3,10.6,79.5,0.2,0.3,5.4
"Berlin-Boylston","06200000",2020,1046,9.8,2.3,16.7,28.3,12.8,2,3.6,5.7,84.6,0.2,0.2,3.6
"Beverly","00300000",2020,4700,8.8,3.7,19.2,40.1,26.3,3.4,2.3,14.2,76.2,0.1,0,3.8
"Billerica","00310000",2020,4797,9.6,1.5,19.8,33.2,17.5,4.9,8.6,7.6,75.7,0.1,0,3.1
"Blackstone Valley Regional Vocational Technical","08050000",2020,1224,0.4,0.2,10.6,18.6,9.6,1,1.7,6.1,89.1,0,0.1,2
"Blackstone-Millville","06220000",2020,1645,6.3,1.7,17.5,38.7,24.6,1.6,0.5,7.4,86.6,0,0,3.9
"Blue Hills Regional Vocational Technical","08060000",2020,856,7.8,0.9,25.5,47.2,25.7,21.1,1.8,15,56,0.5,0.1,5.6
"Boston","00350000",2020,50480,48.5,32.4,21.3,76.7,58.3,30,9,42.4,14.9,0.3,0.2,3.3
"Boston Collegiate Charter (District)","04490000",2020,693,14,4.9,15.7,49.6,30.3,32.6,1.7,18.2,44.4,0.3,0,2.7
"Boston Day and Evening Academy Charter (District)","04240000",2020,414,35.3,14.7,36.2,79.5,65,48.1,1,42.8,5.8,1,0,1.4
"Boston Green Academy Horace Mann Charter School (District)","04110000",2020,500,38,16.8,31.8,78.4,60.8,43,1.6,44.4,7.6,0.2,0.4,2.8
"Boston Preparatory Charter Public (District)","04160000",2020,581,36.7,18.6,21.3,73.7,50.8,66.6,0.5,27.4,2.1,0.2,0.2,3.1
"Boston Renaissance Charter Public (District)","04810000",2020,930,27.7,12.2,11.6,65.3,53.4,62.9,0.2,31.6,1.5,0.1,0,3.7
"Bourne","00360000",2020,1907,1.2,0.7,17.1,38.3,26.7,1.7,1.7,5.9,86.3,0.9,0.2,3.3
"Boxford","00380000",2020,747,2,1.7,16.1,21.4,5.5,0.5,3.9,3.1,86.1,0.1,0,6.3
"Braintree","00400000",2020,5795,18.4,5.8,19.8,39.3,18.3,4.6,21.6,4.7,67.2,0.1,0.1,1.6
"Brewster","00410000",2020,470,4,2.8,19.7,41.2,30.4,1.9,0.4,8.7,83,0,0,6
"Bridge Boston Charter School (District)","04170000",2020,334,41.3,29.9,23.7,81.4,62.9,68.3,0.9,26,1.2,0,0.3,3.3
"Bridgewater-Raynham","06250000",2020,5392,4.6,2.5,16.3,30.6,17.7,6.4,2.3,2.4,84.1,0.1,0.1,4.7
"Brimfield","00430000",2020,299,0.7,0.7,17.2,35.8,22.7,1.3,1,3.7,93.3,0.3,0,0.3
"Bristol County Agricultural","09100000",2020,451,0,0,13.1,34.4,25.3,1.6,0.4,4.2,92.2,0,0.2,1.3
"Bristol-Plymouth Regional Vocational Technical","08100000",2020,1305,2.8,0.3,18.7,41,27.6,2.9,0.7,6.3,85.7,0.6,0,3.8
"Brockton","00440000",2020,16024,44.3,26.2,16.6,73.4,57.5,60,2,17,16.1,0.4,0.2,4.4
"Brooke Charter School (District)","04280000",2020,1969,33.2,7.2,10.4,59.9,46.5,54,1.8,38,4.2,0.2,0,1.9
"Brookfield","00450000",2020,307,1,0.3,13.7,39.4,31.9,0.3,0,5.2,89.9,0,0,4.6
"Brookline","00460000",2020,7777,31.5,11,16.3,36.2,9.2,6,20.8,10.2,53,0,0.1,10
"Burlington","00480000",2020,3509,20.1,4.8,13.9,29.2,12.7,6.4,17.6,7,64.6,0.2,0,4.2
"Cambridge","00490000",2020,7091,28.1,7.5,22.1,46.7,27.9,22.6,12.9,14.1,40.9,0.3,0.1,9.1
"Canton","00500000",2020,3297,6.6,2.4,10.5,25.6,14.5,10.8,10.7,5.9,66.2,0.1,0.2,6.1
"Cape Cod Lighthouse Charter (District)","04320000",2020,239,2.9,0.8,18.8,34.3,16.3,2.1,2.5,5,85.4,0.4,0,4.6
"Cape Cod Regional Vocational Technical","08150000",2020,616,4.7,2.4,28.2,59.3,38.6,8.9,0.5,13.6,70.6,1.3,0.2,4.9
"Carlisle","00510000",2020,597,4.4,3.4,18.5,26.1,4.4,0.5,11.2,5,73.5,0,0.3,9.4
"Carver","00520000",2020,1577,1.7,1.3,20.5,38.1,23.9,1.8,0.4,1.5,94.7,0.3,0.1,1.1
"Central Berkshire","06350000",2020,1565,0.8,0.4,14.3,38.5,30.4,0.3,0.6,4.7,90.5,0.2,0,3.6
"Chelmsford","00560000",2020,5021,17.9,4.2,16.3,29.9,12.9,3.3,15.6,6.5,70.9,0.2,0.1,3.4
"Chelsea","00570000",2020,6255,83.5,42.5,15.5,82.8,63.9,4.3,0.2,87.6,6.4,0.1,0,1.4
"Chesterfield-Goshen","06320000",2020,128,0.8,0,21.9,40.6,23.4,0.8,0,2.3,95.3,1.6,0,0
"Chicopee","00610000",2020,7268,13.5,5.8,18.4,61.8,53.7,4.3,2.1,39.2,50.9,0.1,0,3.3
"Christa McAuliffe Charter Public (District)","04180000",2020,401,3.5,3.5,20.2,47.1,26.4,7,8.2,30.2,49.6,0.2,0,4.7
"City on a Hill Charter Public School Circuit Street (District)","04370000",2020,228,25.4,14.5,20.6,71.1,53.1,65.8,0,32,1.3,0,0,0.9
"City on a Hill Charter Public School Dudley Square (District)","35040000",2020,193,42,24.9,25.9,79.8,58,64.8,0.5,31.1,2.1,0,0,1.6
"City on a Hill Charter Public School New Bedford (District)","35070000",2020,149,46.3,22.8,32.2,84.6,73.8,12.8,2,47,30.2,0.7,0,7.4
"Clarksburg","00630000",2020,197,0,0,19.2,47,35,0.5,0,2.5,93.9,0,0,3
"Clinton","00640000",2020,1900,26.5,12.5,20.9,55.6,38.5,2.9,1.3,26.8,66.8,0,0.1,2.1
"Codman Academy Charter Public (District)","04380000",2020,339,18.3,12.7,21.8,72,61.7,76.1,0,21.2,1.2,0.3,0,1.2
"Cohasset","00650000",2020,1500,0.8,0.2,12.9,17.8,6,3,2.3,1.3,91.4,0.1,0,1.8
"Collegiate Charter School of Lowell (District)","35030000",2020,932,31.2,24.5,7.4,63.8,45.9,20.1,27.3,35.4,13.8,0.1,0,3.3
"Community Charter School of Cambridge (District)","04360000",2020,326,44.2,7.1,12.9,49.1,34.4,70.2,3.7,16.9,4.3,0.6,0.3,4
"Community Day Charter Public School - Gateway (District)","04260000",2020,400,65.3,22.5,10.8,78.3,51,1,0.8,95.8,2.3,0.3,0,0
"Community Day Charter Public School - Prospect (District)","04400000",2020,400,67.3,28.5,12.8,78,49,0.5,0,97.8,1.8,0,0,0
"Community Day Charter Public School - R. Kingman Webster (District)","04310000",2020,399,57.1,24.3,9.5,76.9,53.1,1,1,95,2.5,0,0,0.5
"Concord","00670000",2020,2065,8.2,2.9,18.1,26.4,6.6,4.4,7.5,7,74,0.1,0,7
"Concord-Carlisle","06400000",2020,1280,5.5,0.6,19.2,23.6,5.9,4.5,8.1,4.7,78,0.1,0,4.6
"Conservatory Lab Charter (District)","04390000",2020,453,21.6,16.6,13,69.8,54.5,48.8,2,42.4,4.4,0,0,2.4
"Conway","00680000",2020,133,0,0,20.3,35.3,22.6,1.5,0,6,91,0,0,1.5
"Danvers","00710000",2020,3417,4.2,1.3,18.3,32.2,17.5,2,2.5,8.9,84.1,0.1,0.1,2.5
"Dartmouth","00720000",2020,3580,3,1.9,16.6,34.9,22.5,1.5,0.7,4.4,87,0,0,6.4
"Dedham","00730000",2020,2736,14.2,7.2,22.1,40.7,21.8,7.5,2.5,15.9,69.3,0.1,0,4.7
"Deerfield","00740000",2020,386,2.8,1.6,21.5,33.4,19.7,0.3,0.5,7,84.5,0,0,7.8
"Dennis-Yarmouth","06450000",2020,2912,19.5,10.9,19.3,58,43.6,10,2.5,13.2,65.9,2.1,0.2,6.1
"Dighton-Rehoboth","06500000",2020,2850,1.2,0.3,14.9,27.3,16,1.4,1.4,4.4,89.1,0.1,0,3.7
"Douglas","00770000",2020,1282,1.2,1.1,18.3,31.4,16.7,0.7,1.1,5.4,89.9,0,0.2,2.7
"Dover","00780000",2020,490,6.5,5.1,14.6,21.3,1.4,3.5,14.9,4.5,71.8,0,0.2,5.1
"Dover-Sherborn","06550000",2020,1204,5.6,0.5,17.2,21.2,3.3,3.2,9.9,4.9,76.7,0.2,0,5.1
"Dracut","00790000",2020,3677,4.1,1.9,15,37.3,25,7,7,10.8,72.8,0.3,0,2
"Dudley Street Neighborhood Charter School (District)","04070000",2020,271,43.2,39.9,13.3,79.3,60.1,59.8,1.1,33.2,3.3,0.4,0.4,1.8
"Dudley-Charlton Reg","06580000",2020,3702,7.9,3.3,15.8,34.8,22.5,1.6,1,9.2,85.3,0.2,0.1,2.8
"Duxbury","00820000",2020,2972,2,0.3,14.6,19.7,6.2,0.5,1.2,2.5,91.9,0.1,0,3.8
"East Bridgewater","00830000",2020,2216,1.3,0.6,17.9,32.2,18.6,3.2,1,2.7,89.8,0.4,0,2.8
"East Longmeadow","00870000",2020,2588,7.5,1.6,18.8,33.9,18.7,3.2,5.4,9.3,79,0.2,0,2.9
"Eastham","00850000",2020,194,9.3,3.1,17.5,45.9,34.5,8.8,2.1,2.6,82,0,0,4.6
"Easthampton","00860000",2020,1544,6.1,2.5,19.9,44.3,32.6,1.3,3.6,13.5,77.6,0.3,0.1,3.6
"Easton","00880000",2020,3579,5.3,1.7,18.2,29,13.9,7.1,3.3,6.3,79.6,0.3,0.1,3.3
"Edgartown","00890000",2020,391,36.1,21.2,21.7,56.8,33,3.6,0.5,20.2,68.8,2.6,0,4.3
"Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District)","04520000",2020,388,55.2,16.2,19.1,77.3,60.3,38.7,0.8,57,2.1,0.3,0,1.3
"Erving","00910000",2020,133,1.5,1.5,20,41.5,26.3,0.8,0,5.3,82.7,0,0,11.3
"Essex North Shore Agricultural and Technical School District","08170000",2020,1492,7.7,0.3,16.6,32,17.8,1.2,1.5,13.1,80.1,0.3,0.1,3.8
"Everett","00930000",2020,7057,65.5,26.4,15.5,72.7,52.8,15.8,5.3,57.1,19.7,0.3,0.1,1.7
"Excel Academy Charter (District)","04100000",2020,1370,60.8,8.8,19.8,70,45.7,6.1,1,79.3,12,0.7,0.4,0.6
"Fairhaven","00940000",2020,2042,4.1,1.6,17.5,39.5,28.4,2.7,2.1,5.5,85.5,0.7,0,3.5
"Fall River","00950000",2020,10229,27.4,19,22.6,78.3,70,8.6,3.7,28.9,50,0.1,0,8.6
"Falmouth","00960000",2020,3251,7.5,4.4,18.2,41.7,29.5,4.9,2,6.8,78.7,1,0,6.4
"Farmington River Reg","06620000",2020,105,0,0,21.9,45.7,33.3,0,0,1,99,0,0,0
"Fitchburg","00970000",2020,5338,36.2,16.1,23.7,73,61.9,6.2,4.6,53.4,28.2,0,0,7.5
"Florida","00980000",2020,95,0,0,20,36.8,24.2,1.1,0,0,98.9,0,0,0
"Four Rivers Charter Public (District)","04130000",2020,217,1.8,0,12.9,32.3,24,0.5,2.3,6.9,83.9,0.9,0,5.5
"Foxborough","00990000",2020,2554,4.3,2.5,20.7,33.2,16.2,5.6,4.6,6.3,79.8,0.4,0.2,3.1
"Foxborough Regional Charter (District)","04460000",2020,1658,18.7,7.5,9.4,41.5,24.5,49.4,10.1,5.4,29.4,0.3,0.2,5.1
"Framingham","01000000",2020,9088,47.2,25.1,21.8,61.2,38.8,7.1,4.5,32.1,51.8,0.1,0.1,4.4
"Francis W. Parker Charter Essential (District)","04780000",2020,397,1.8,0,14.6,20.9,8.3,1.3,2,3,87.7,0.3,0,5.8
"Franklin","01010000",2020,5068,5.5,1.2,18.6,26.8,10.4,2,5.7,4,85.4,0.1,0.7,2.1
"Franklin County Regional Vocational Technical","08180000",2020,505,0,0,32.3,56.4,37,0.8,0,4.8,92.5,0,0,2
"Freetown-Lakeville","06650000",2020,2832,1.4,0.6,17,30,18.2,1.4,0.8,2.2,93.1,0.1,0.1,2.3
"Frontier","06700000",2020,655,3.2,0.8,19.6,32.1,19.5,2.3,3.1,4.6,86.6,0,0.2,3.4
"Gardner","01030000",2020,2346,9.7,5.3,22,62,51.9,2.6,2.1,22.2,65.7,0.2,0,7.2
"Gateway","06720000",2020,827,3.9,1.9,20.6,44.2,32.3,0.7,0.6,4.7,91.5,0.2,0.1,2.1
"Georgetown","01050000",2020,1368,1.4,0,17.2,23.1,8.7,0.7,1,2,94.1,0,0.1,2
"Gill-Montague","06740000",2020,931,10,6.9,22.8,59.1,47.4,1.1,0.3,12.7,78.7,0.2,0.2,6.8
"Global Learning Charter Public (District)","04960000",2020,507,37.9,8.9,12.8,68.2,50.1,10.8,1,43.4,40,0.4,0,4.3
"Gloucester","01070000",2020,2851,10.9,7,26.2,53.2,37.5,1.8,1.2,11.4,81.3,0.2,0.4,3.8
"Grafton","01100000",2020,3205,3.5,1.8,20.1,30,13.1,1.6,12.5,5.2,77.6,0.1,0.1,2.9
"Granby","01110000",2020,753,6.9,4.6,18.5,39,27.2,0.1,1.2,10.1,84.1,0.4,0,4.1
"Greater Fall River Regional Vocational Technical","08210000",2020,1433,7.3,1.4,10.6,44.2,37.2,3.1,2.3,12.3,76.2,0.6,0.1,5.4
"Greater Lawrence Regional Vocational Technical","08230000",2020,1591,45.1,12.8,17.9,70.7,55.2,1,1.4,83.3,14.1,0.2,0,0.1
"Greater Lowell Regional Vocational Technical","08280000",2020,2271,25.4,9,18.6,62.4,44.8,4.2,16.2,35.2,41.4,0.2,0,2.7
"Greater New Bedford Regional Vocational Technical","08250000",2020,2124,19.1,3.4,10.5,49.2,39.4,8.5,1.1,24,60.8,0.2,0,5.4
"Greenfield","01140000",2020,1718,10,5.5,18.5,59.9,52,2.6,1.6,20.2,70.7,0.1,0,4.9
"Greenfield Commonwealth Virtual District","39010000",2020,663,4.8,1.2,15.4,61.2,54.8,8.6,5,18.7,58.8,0.2,0.2,8.6
"Groton-Dunstable","06730000",2020,2353,2.7,1.4,16.5,22.5,6.9,1.1,7.1,2.7,85.8,0.2,0.2,2.9
"Hadley","01170000",2020,529,7.2,4.9,15.5,32.2,20.2,2.8,5.1,10.2,75.6,0.4,2.3,3.6
"Halifax","01180000",2020,586,1.5,1,16.9,33.3,19.3,1.5,0,4.6,90.1,0.5,0,3.2
"Hamilton-Wenham","06750000",2020,1836,1.9,0.7,18.8,23.7,7,0.6,3.6,4.7,88.6,0,0.2,2.3
"Hampden Charter School of Science East (District)","04990000",2020,524,5.5,4.8,10.9,51.5,42.7,31.7,1.9,32.6,30.7,0.2,0,2.9
"Hampden Charter School of Science West (District)","35160000",2020,262,11.1,9.2,17.2,59.9,46.6,15.3,1.5,33.6,47.7,0,0,1.9
"Hampden-Wilbraham","06800000",2020,3005,3.3,1.5,14.8,27.9,16.3,2.7,2.8,7.8,83,0.2,0.1,3.5
"Hampshire","06830000",2020,734,3.5,1.5,24.1,33.1,15.8,0.3,1,4.4,91.6,0,0,2.9
"Hancock","01210000",2020,47,2.1,0,21.3,29.8,17,2.1,2.1,0,95.7,0,0,0
"Hanover","01220000",2020,2649,3,0.9,18.5,25.4,8.2,1.2,2.3,2.3,93.7,0,0,0.6
"Harvard","01250000",2020,1048,5.1,0.9,11,17.7,6,2.1,11,4.6,78.8,0,0,3.5
"Hatfield","01270000",2020,431,0.7,0,20.8,30.5,14.6,0.5,0.9,3.9,92.6,0,0,2.1
"Haverhill","01280000",2020,8063,15.3,9.6,22.8,61.6,48.3,4.9,1.7,38.7,52.4,0.2,0.1,2
"Hawlemont","06850000",2020,143,3.5,3.5,28.5,58.3,49,0,0,7,88.8,0.7,0,3.5
"Helen Y. Davis Leadership Academy Charter Public (District)","04190000",2020,207,9.2,5.8,21.7,70,57,79.7,0,18.4,1.9,0,0,0
"Hill View Montessori Charter Public (District)","04550000",2020,307,12.4,7.8,14.3,37.5,18.9,5.9,0.3,25.1,66.1,0,0,2.6
"Hilltown Cooperative Charter Public (District)","04500000",2020,218,0.5,0,20.6,30.3,17,0.9,2.3,5,79.4,0,0,12.4
"Hingham","01310000",2020,4262,1.7,0.4,14,18.4,5.5,1.5,2.6,3.5,89.2,0,0,3.2
"Holbrook","01330000",2020,1309,19.2,5.7,20,49.7,31.6,22.3,5,13.9,50.8,0.4,0,7.6
"Holland","01350000",2020,232,0,0,13.8,38.8,31,1.3,2.2,6.9,87.9,0,0,1.7
"Holliston","01360000",2020,2910,10,2.2,16.2,24.2,6.9,1.1,8.7,5.1,81.9,0.4,0.1,2.7
"Holyoke","01370000",2020,5350,40,21.4,27.5,83.9,78.1,3.1,0.7,80.6,14.1,0,0.1,1.4
"Holyoke Community Charter (District)","04530000",2020,701,28.8,13,19.1,76.2,66.9,1.1,0.7,92.2,4.6,0,0,1.4
"Hoosac Valley Regional","06030000",2020,1103,1.6,0.8,24.2,59.6,51.1,4.2,1.3,2.2,90.6,0.2,0,1.6
"Hopedale","01380000",2020,1080,6.2,2.2,21.7,29.9,12.5,1.1,1.7,7.8,85,0.2,0.2,4.1
"Hopkinton","01390000",2020,3862,13.4,6.2,12.2,24.2,5.4,0.8,20.6,3.9,70.8,0.3,0,3.7
"Hudson","01410000",2020,2566,25.4,11.4,16.9,42.1,24.7,2.1,1.8,14.3,79,0.2,0,2.7
"Hull","01420000",2020,854,2,1.1,21.5,43.4,30.7,1.6,1.9,2.7,91.5,0.1,0,2.2
"Innovation Academy Charter (District)","04350000",2020,798,8.9,2.5,13.8,31,13.9,6.6,8.6,10,68.9,0.1,0,5.6
"Ipswich","01440000",2020,1679,5.7,2.4,18.2,29.4,14.6,0.8,1.5,7.3,86.8,0.1,0,3.6
"King Philip","06900000",2020,1979,0.1,0.1,15.9,23.1,10.2,2,2.9,3.2,89.3,0.2,0.1,2.4
"Kingston","01450000",2020,1065,3.1,2.3,18.1,31.1,15.9,0.9,0.7,2.3,94.9,0.4,0,0.8
"KIPP Academy Boston Charter School (District)","04630000",2020,581,49.9,20.1,20.1,81.8,64,67,0,31.2,0.3,0.3,0,1.2
"KIPP Academy Lynn Charter (District)","04290000",2020,1602,77,14.2,12.1,71.7,51.4,19.5,3.1,68.7,5.6,0.2,0.1,2.7
"Lawrence","01490000",2020,13550,72.3,36.2,18.5,85.7,70.7,1.2,1.2,93.7,3.5,0,0,0.3
"Lawrence Family Development Charter (District)","04540000",2020,780,77.8,25.6,8.1,78.3,59.1,0.6,0.1,98.2,1,0,0,0
"Lee","01500000",2020,713,7.9,4.5,14.8,44.6,33.5,0.7,2.9,9.5,84.3,0.1,0,2.4
"Leicester","01510000",2020,1488,8.5,3.5,16.7,38.8,26.4,5.4,3,10.3,78.2,0.1,0.1,3
"Lenox","01520000",2020,776,7.1,2.3,10,25.8,17.5,0.5,4.1,8.9,81.2,0,0,5.3
"Leominster","01530000",2020,6078,27.7,11.9,23.4,57,40.8,8.3,3.2,36.7,47.2,0.1,0.1,4.4
"Leverett","01540000",2020,142,0,0,10.6,22.5,14.8,0,0.7,4.2,86.6,0,0,8.5
"Lexington","01550000",2020,7190,32.7,8.8,14.4,30.7,5.4,3.8,40.7,4.4,44,0.1,0,7
"Libertas Academy Charter School (District)","35140000",2020,267,49.8,35.6,19.5,88,76,15,0.7,81.3,1.1,0,0.4,1.5
"Lincoln","01570000",2020,1114,9.6,4.9,20.2,28.9,5.7,9.2,3.9,15.6,59.6,0.1,0.6,11
"Lincoln-Sudbury","06950000",2020,1512,3.3,0.7,20.5,25.2,6.7,5.1,5.2,4.8,78.6,0.1,0,6.3
"Littleton","01580000",2020,1663,6,2.3,15.9,24,7.5,1,10.5,2.6,83.2,0.2,0.2,2.5
"Longmeadow","01590000",2020,2847,6.4,0.9,18,24.2,7.6,2.2,10.4,5,77.7,0,0.1,4.4
"Lowell","01600000",2020,14434,31.3,24,17.9,74,57.7,7.9,28.3,34.4,25.5,0,0,3.9
"Lowell Community Charter Public (District)","04560000",2020,821,73.3,52.9,16.2,79.3,50.9,25.6,19,46.4,4.9,0,0,4.1
"Lowell Middlesex Academy Charter (District)","04580000",2020,85,10.6,9.4,28.2,76.5,67.1,3.5,17.6,36.5,31.8,0,0,10.6
"Ludlow","01610000",2020,2538,9.3,3.7,16,38.5,27.6,1.9,0.8,11.3,82.6,0.3,0,3.1
"Lunenburg","01620000",2020,1641,3.4,1.1,15.4,28.3,16.9,2.1,1.8,8.1,84.9,0.4,0.4,2.3
"Lynn","01630000",2020,16088,58.7,29.8,16.9,76,58.2,8.5,7.9,65.9,14.1,0.3,0,3.3
"Lynnfield","01640000",2020,2202,8.4,2.5,17.2,24.7,7.1,2,6.5,5.6,83,0,0,3
"Ma Academy for Math and Science","04680000",2020,99,0,0,0,2,2,3,53.5,1,37.4,0,0,5.1
"Malden","01650000",2020,6481,56.2,18.2,17.4,67.2,46,18.8,22.9,26.1,27.9,0.1,0,4.1
"Manchester Essex Regional","06980000",2020,1370,2.2,0.7,17.1,24.9,8.4,0.4,0.8,1.6,96.4,0,0,0.7
"Mansfield","01670000",2020,3651,6.4,1.9,16.3,27.9,14.2,4,6.9,5,80,0.1,0,4.1
"Map Academy Charter School (District)","35170000",2020,161,1.2,0.6,50.3,75.2,50.9,6.2,0.6,19.3,67.1,0,0.6,6.2
"Marblehead","01680000",2020,2963,7.2,4,19.4,28.6,9.8,2.8,1.3,6.4,86.1,0.1,0,3.3
"Marblehead Community Charter Public (District)","04640000",2020,205,1.5,1.5,24.4,38,14.1,5.9,2.9,6.3,82.4,0,0,2.4
"Marion","01690000",2020,433,0.9,0.5,20.1,33.6,18.2,3.9,0.7,3.9,84.5,0,0,6.9
"Marlborough","01700000",2020,4757,52,25.3,17.2,64.3,40.4,3.4,3.5,51.9,38.5,0.1,0,2.5
"Marshfield","01710000",2020,3960,2.8,1.2,17.8,27,12.4,0.5,1.2,3.2,93.1,0.1,0.1,1.8
"Martha's Vineyard","07000000",2020,670,20.7,10.9,22.5,51.2,29.9,4.5,1.2,19.4,67.9,1.9,0.3,4.8
"Martha's Vineyard Charter (District)","04660000",2020,172,5.8,4.7,29.1,55.8,34.9,1.7,0.6,9.9,77.3,1.7,0,8.7
"Martin Luther King Jr. Charter School of Excellence (District)","04920000",2020,360,30.8,25.8,15.8,82.2,73.3,30.3,0.8,64.4,1.9,0,0,2.5
"Masconomet","07050000",2020,1721,0.9,0.2,18.3,22.9,6,0.3,3.7,2.6,91.5,0.1,0.1,1.7
"Mashpee","01720000",2020,1563,8.6,4,15.5,43.6,32.2,4.3,2.2,5.7,73.5,5.4,0.1,8.7
"MATCH Charter Public School (District)","04690000",2020,1223,57.9,19.2,22.6,81.5,62.2,48.1,0.5,46.9,1.6,0.4,0.2,2.2
"Mattapoisett","01730000",2020,442,0.9,0.2,15.8,29.2,19,0.5,1.1,4.1,89.1,0,0,5.2
"Maynard","01740000",2020,1265,10.6,4.8,18.7,34.3,17.9,2.1,2,12.9,78.6,0.2,0,4.3
"Medfield","01750000",2020,2601,3,0.7,12.7,17.3,5,1.2,4.1,3.5,87.3,0.3,0,3.6
"Medford","01760000",2020,4203,27.5,10.8,19.7,49.7,31.2,12.5,9.8,13.1,59.1,0.5,0.1,5
"Medway","01770000",2020,2178,2.3,1.4,17.2,25,10.1,1.7,2.8,5.1,88.1,0.2,0.1,1.9
"Melrose","01780000",2020,3977,13.5,4.9,15.1,26.9,10.9,5.5,6.3,5,78,0,0,5.2
"Mendon-Upton","07100000",2020,2252,4.2,1.9,15.6,24.6,9.5,0.6,2.4,4.5,89.7,0.1,0,2.8
"Methuen","01810000",2020,6851,28,10,19,52,35.7,3,3.7,43.7,45.3,0,0.1,4.2
"Middleborough","01820000",2020,2989,1.9,0.9,19.5,40.6,29.4,2.6,0.8,2.8,87.9,0.9,0,4.9
"Middleton","01840000",2020,713,3.6,1.7,16.8,24,8,0.8,4.1,5.8,84.4,0.7,0.1,4.1
"Milford","01850000",2020,4407,38.3,21.3,16.3,56.6,40.2,3,1.7,30,60.6,1.4,0,3.3
"Millbury","01860000",2020,1700,8.4,4.5,19.2,42.3,25.8,3.4,3.4,8.3,80,0.1,0.1,4.8
"Millis","01870000",2020,1179,3.5,1.3,13.7,23.6,10.9,0.9,2.2,8.1,85,0.3,0.2,3.3
"Milton","01890000",2020,4431,9.5,2.5,14.3,24.3,9.7,13.9,7.1,4.7,69.1,0.1,0.1,4.9
"Minuteman Regional Vocational Technical","08300000",2020,598,5.2,2.3,51,60.5,19.9,3.5,4.5,6.4,80.4,0.3,0,4.8
"Mohawk Trail","07170000",2020,845,1.2,0.8,22.8,47,34.2,0.4,0.4,4.6,92,0,0.1,2.6
"Monomoy Regional School District","07120000",2020,1876,9.5,4.9,16.7,41.2,28.7,6.5,1.5,8,77.6,0.5,0.2,5.6
"Monson","01910000",2020,924,2.6,0.8,19,40.7,30.1,1.1,0.9,4.8,90.3,0.1,0.5,2.4
"Montachusett Regional Vocational Technical","08320000",2020,1430,6.3,1,14.8,37.6,25.2,1.9,1.8,17.1,75.6,0,0,3.6
"Mount Greylock","07150000",2020,1160,0.5,0.2,14.7,26.9,17.6,1.8,1.3,4.2,88.8,0,0,3.9
"Mystic Valley Regional Charter (District)","04700000",2020,1604,46.9,1.7,12,30.9,18.3,17.7,22.8,9.4,45.2,0.3,0,4.6
"Nahant","01960000",2020,154,0,0,22.1,33.8,20.1,0.6,0.6,6.5,88.3,0,0,3.9
"Nantucket","01970000",2020,1678,37.1,16,15.6,48.1,23.8,9.8,1.8,34,50.2,0.2,0,3.9
"Narragansett","07200000",2020,1467,0.7,0.2,16.6,39.6,30.7,1.1,0.3,6.5,88.9,0.1,0.1,3.1
"Nashoba","07250000",2020,3180,5.3,2.5,17.5,25.7,9.3,1.3,3.5,5.3,86.9,0.1,0.1,2.7
"Nashoba Valley Regional Vocational Technical","08520000",2020,709,2.8,0.8,33,47.5,21.4,2.1,1.6,6.5,87.2,0.4,0.1,2.1
"Natick","01980000",2020,5529,11,3.4,15.4,25.4,9.3,2.7,10.5,6.2,75,0.1,0.1,5.5
"Nauset","06600000",2020,1480,5.3,1.9,17.5,35.7,21,5.3,2.5,5,83.9,0.1,0.1,3.2
"Needham","01990000",2020,5706,10,3,17.3,24.9,5.6,2.9,9.5,5.9,76.1,0.1,0,5.4
"Neighborhood House Charter (District)","04440000",2020,703,26.9,11.2,15.4,58.7,43.7,53.5,2.8,22.8,15.2,0.6,0,5.1
"New Bedford","02010000",2020,12880,41.5,28.5,20.9,81.1,68,13.3,0.9,40.9,39,0.4,0.1,5.4
"New Heights Charter School of Brockton (District)","35130000",2020,602,15.1,14.3,7.3,58.8,44.2,88.7,0.8,7.5,1.7,0.2,0,1.2
"New Salem-Wendell","07280000",2020,145,0,0,15.9,37.2,29,0,0,5.5,85.5,0,0,9
